date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant
10/04/2012;37;27;22;25;36;9;5;-22-25-27-36-37-;-5-9-
06/04/2012;11;35;45;20;30;2;3;-11-20-30-35-45-;-2-3-
03/04/2012;1;8;18;25;30;10;9;-1-8-18-25-30-;-9-10-
30/03/2012;46;17;23;4;36;10;6;-4-17-23-36-46-;-6-10-
27/03/2012;29;36;27;34;24;7;8;-24-27-29-34-36-;-7-8-
23/03/2012;50;15;9;23;31;8;11;-9-15-23-31-50-;-8-11-
20/03/2012;28;30;15;16;46;3;4;-15-16-28-30-46-;-3-4-
16/03/2012;12;4;50;3;23;4;7;-3-4-12-23-50-;-4-7-
13/03/2012;47;1;25;10;43;8;9;-1-10-25-43-47-;-8-9-
09/03/2012;39;36;32;47;3;6;9;-3-32-36-39-47-;-6-9-
06/03/2012;23;47;27;37;24;6;2;-23-24-27-37-47-;-2-6-
02/03/2012;44;5;11;6;30;6;2;-5-6-11-30-44-;-2-6-
28/02/2012;10;48;1;17;33;2;3;-1-10-17-33-48-;-2-3-
24/02/2012;34;3;12;26;7;10;8;-3-7-12-26-34-;-8-10-
21/02/2012;11;24;14;25;29;11;7;-11-14-24-25-29-;-7-11-
17/02/2012;11;4;47;28;38;11;10;-4-11-28-38-47-;-10-11-
14/02/2012;36;14;42;46;27;11;8;-14-27-36-42-46-;-8-11-
10/02/2012;3;14;31;41;8;7;11;-3-8-14-31-41-;-7-11-
07/02/2012;15;3;17;33;28;2;4;-3-15-17-28-33-;-2-4-
03/02/2012;16;20;19;25;28;1;10;-16-19-20-25-28-;-1-10-
31/01/2012;43;34;38;9;45;4;2;-9-34-38-43-45-;-2-4-
27/01/2012;10;19;44;13;39;6;2;-10-13-19-39-44-;-2-6-
24/01/2012;1;20;6;2;36;11;8;-1-2-6-20-36-;-8-11-
20/01/2012;10;28;27;2;22;8;6;-2-10-22-27-28-;-6-8-
17/01/2012;12;44;22;30;31;5;6;-12-22-30-31-44-;-5-6-
13/01/2012;39;13;21;14;27;8;6;-13-14-21-27-39-;-6-8-
10/01/2012;9;4;30;10;40;9;2;-4-9-10-30-40-;-2-9-
06/01/2012;1;6;10;31;12;7;2;-1-6-10-12-31-;-2-7-
03/01/2012;42;30;45;3;49;5;10;-3-30-42-45-49-;-5-10-
30/12/2011;36;44;43;16;50;8;7;-16-36-43-44-50-;-7-8-
27/12/2011;26;21;25;19;44;7;3;-19-21-25-26-44-;-3-7-
23/12/2011;22;7;24;28;21;1;11;-7-21-22-24-28-;-1-11-
20/12/2011;14;48;1;9;12;7;1;-1-9-12-14-48-;-1-7-
16/12/2011;10;2;23;31;5;5;2;-2-5-10-23-31-;-2-5-
13/12/2011;12;37;18;33;7;1;11;-7-12-18-33-37-;-1-11-
09/12/2011;21;12;47;44;29;2;1;-12-21-29-44-47-;-1-2-
06/12/2011;34;21;20;38;19;9;3;-19-20-21-34-38-;-3-9-
02/12/2011;27;40;7;43;30;9;8;-7-27-30-40-43-;-8-9-
29/11/2011;25;50;11;45;41;7;2;-11-25-41-45-50-;-2-7-
25/11/2011;34;14;26;19;28;5;8;-14-19-26-28-34-;-5-8-
22/11/2011;16;40;38;24;18;2;4;-16-18-24-38-40-;-2-4-
18/11/2011;39;44;24;4;12;2;4;-4-12-24-39-44-;-2-4-
15/11/2011;47;17;22;6;45;3;11;-6-17-22-45-47-;-3-11-
11/11/2011;30;18;1;4;23;3;7;-1-4-18-23-30-;-3-7-
08/11/2011;40;15;4;29;1;1;5;-1-4-15-29-40-;-1-5-
04/11/2011;41;50;11;43;14;9;2;-11-14-41-43-50-;-2-9-
01/11/2011;20;45;23;14;46;1;11;-14-20-23-45-46-;-1-11-
28/10/2011;39;16;20;17;50;4;8;-16-17-20-39-50-;-4-8-
25/10/2011;39;28;22;12;27;4;10;-12-22-27-28-39-;-4-10-
21/10/2011;37;19;2;33;46;5;8;-2-19-33-37-46-;-5-8-
18/10/2011;46;18;37;48;23;2;10;-18-23-37-46-48-;-2-10-
14/10/2011;47;23;12;29;32;3;5;-12-23-29-32-47-;-3-5-
11/10/2011;12;16;4;1;48;9;10;-1-4-12-16-48-;-9-10-
07/10/2011;42;34;18;38;26;8;5;-18-26-34-38-42-;-5-8-
04/10/2011;14;16;23;45;38;8;11;-14-16-23-38-45-;-8-11-
30/09/2011;28;15;44;31;5;1;6;-5-15-28-31-44-;-1-6-
27/09/2011;28;18;40;27;35;3;5;-18-27-28-35-40-;-3-5-
23/09/2011;6;33;48;14;34;6;2;-6-14-33-34-48-;-2-6-
20/09/2011;25;38;19;9;36;11;7;-9-19-25-36-38-;-7-11-
16/09/2011;39;2;42;17;8;3;10;-2-8-17-39-42-;-3-10-
13/09/2011;28;32;49;9;30;9;10;-9-28-30-32-49-;-9-10-
09/09/2011;21;5;34;31;28;2;1;-5-21-28-31-34-;-1-2-
06/09/2011;42;35;50;48;47;9;8;-35-42-47-48-50-;-8-9-
02/09/2011;37;12;26;38;44;4;7;-12-26-37-38-44-;-4-7-
30/08/2011;46;8;2;10;19;5;9;-2-8-10-19-46-;-5-9-
26/08/2011;25;45;22;33;12;5;7;-12-22-25-33-45-;-5-7-
23/08/2011;42;50;6;14;4;2;4;-4-6-14-42-50-;-2-4-
19/08/2011;16;6;31;28;14;11;2;-6-14-16-28-31-;-2-11-
16/08/2011;45;18;1;13;17;8;3;-1-13-17-18-45-;-3-8-
12/08/2011;7;20;37;10;27;7;4;-7-10-20-27-37-;-4-7-
09/08/2011;36;24;34;7;23;11;8;-7-23-24-34-36-;-8-11-
05/08/2011;34;32;18;14;13;1;10;-13-14-18-32-34-;-1-10-
02/08/2011;8;33;14;24;5;8;3;-5-8-14-24-33-;-3-8-
29/07/2011;37;38;19;27;12;5;10;-12-19-27-37-38-;-5-10-
26/07/2011;5;1;25;48;22;11;3;-1-5-22-25-48-;-3-11-
22/07/2011;4;50;15;49;23;2;6;-4-15-23-49-50-;-2-6-
19/07/2011;16;3;25;35;26;5;9;-3-16-25-26-35-;-5-9-
15/07/2011;26;6;33;39;34;3;4;-6-26-33-34-39-;-3-4-
12/07/2011;19;17;42;45;38;9;10;-17-19-38-42-45-;-9-10-
08/07/2011;12;13;40;49;23;7;10;-12-13-23-40-49-;-7-10-
05/07/2011;28;47;29;11;49;5;1;-11-28-29-47-49-;-1-5-
01/07/2011;11;23;31;8;46;9;8;-8-11-23-31-46-;-8-9-
28/06/2011;16;15;44;30;50;3;2;-15-16-30-44-50-;-2-3-
24/06/2011;41;20;5;30;16;11;6;-5-16-20-30-41-;-6-11-
21/06/2011;49;50;20;17;35;4;3;-17-20-35-49-50-;-3-4-
17/06/2011;11;22;21;16;44;8;3;-11-16-21-22-44-;-3-8-
14/06/2011;41;19;48;5;12;8;10;-5-12-19-41-48-;-8-10-
10/06/2011;37;20;3;48;19;8;11;-3-19-20-37-48-;-8-11-
07/06/2011;25;38;40;6;36;10;4;-6-25-36-38-40-;-4-10-
03/06/2011;49;40;50;39;4;2;5;-4-39-40-49-50-;-2-5-
31/05/2011;22;9;10;50;1;11;5;-1-9-10-22-50-;-5-11-
27/05/2011;28;9;49;25;17;9;8;-9-17-25-28-49-;-8-9-
24/05/2011;16;23;24;29;26;2;9;-16-23-24-26-29-;-2-9-
20/05/2011;42;25;10;20;14;8;11;-10-14-20-25-42-;-8-11-
17/05/2011;37;20;21;45;46;3;2;-20-21-37-45-46-;-2-3-
13/05/2011;17;47;11;36;9;2;1;-9-11-17-36-47-;-1-2-
10/05/2011;28;3;45;10;15;7;5;-3-10-15-28-45-;-5-7-
