date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant
18/04/2008;27;6;7;50;3;5;9;-3-6-7-27-50-;-5-9-
11/04/2008;50;30;25;45;6;5;7;-6-25-30-45-50-;-5-7-
04/04/2008;18;37;47;13;11;6;1;-11-13-18-37-47-;-1-6-
28/03/2008;39;9;29;5;17;3;6;-5-9-17-29-39-;-3-6-
21/03/2008;10;2;22;18;36;6;4;-2-10-18-22-36-;-4-6-
14/03/2008;13;48;35;21;25;4;8;-13-21-25-35-48-;-4-8-
07/03/2008;14;17;7;35;2;6;1;-2-7-14-17-35-;-1-6-
29/02/2008;37;47;49;40;12;9;2;-12-37-40-47-49-;-2-9-
22/02/2008;46;50;4;27;32;8;9;-4-27-32-46-50-;-8-9-
15/02/2008;27;45;12;29;46;7;4;-12-27-29-45-46-;-4-7-
08/02/2008;17;38;28;44;30;1;4;-17-28-30-38-44-;-1-4-
01/02/2008;30;49;45;47;22;4;9;-22-30-45-47-49-;-4-9-
25/01/2008;2;19;9;45;6;7;8;-2-6-9-19-45-;-7-8-
18/01/2008;46;40;16;14;23;8;4;-14-16-23-40-46-;-4-8-
11/01/2008;24;36;50;8;49;4;8;-8-24-36-49-50-;-4-8-
04/01/2008;41;24;10;12;25;3;5;-10-12-24-25-41-;-3-5-
28/12/2007;45;31;20;22;21;9;7;-20-21-22-31-45-;-7-9-
21/12/2007;37;7;44;28;9;7;6;-7-9-28-37-44-;-6-7-
14/12/2007;8;30;36;25;44;4;3;-8-25-30-36-44-;-3-4-
07/12/2007;48;43;4;2;32;1;7;-2-4-32-43-48-;-1-7-
30/11/2007;38;20;12;19;30;9;7;-12-19-20-30-38-;-7-9-
23/11/2007;22;2;48;29;10;9;3;-2-10-22-29-48-;-3-9-
16/11/2007;23;18;33;37;9;1;8;-9-18-23-33-37-;-1-8-
09/11/2007;14;25;36;5;22;6;5;-5-14-22-25-36-;-5-6-
02/11/2007;40;16;3;19;18;2;1;-3-16-18-19-40-;-1-2-
26/10/2007;20;7;38;40;43;8;1;-7-20-38-40-43-;-1-8-
19/10/2007;7;18;34;35;40;7;8;-7-18-34-35-40-;-7-8-
12/10/2007;36;47;21;32;46;3;4;-21-32-36-46-47-;-3-4-
05/10/2007;20;27;35;44;11;5;2;-11-20-27-35-44-;-2-5-
28/09/2007;22;34;44;30;35;4;5;-22-30-34-35-44-;-4-5-
21/09/2007;35;37;17;1;32;8;1;-1-17-32-35-37-;-1-8-
14/09/2007;33;29;5;9;11;7;9;-5-9-11-29-33-;-7-9-
07/09/2007;42;3;34;2;33;5;3;-2-3-33-34-42-;-3-5-
31/08/2007;22;37;23;18;6;6;5;-6-18-22-23-37-;-5-6-
24/08/2007;16;3;42;1;48;2;3;-1-3-16-42-48-;-2-3-
17/08/2007;2;13;42;3;38;7;8;-2-3-13-38-42-;-7-8-
10/08/2007;40;43;49;42;23;6;2;-23-40-42-43-49-;-2-6-
03/08/2007;41;33;37;30;10;1;8;-10-30-33-37-41-;-1-8-
27/07/2007;4;29;21;1;41;8;7;-1-4-21-29-41-;-7-8-
20/07/2007;50;26;10;21;25;9;4;-10-21-25-26-50-;-4-9-
13/07/2007;13;9;31;15;48;6;3;-9-13-15-31-48-;-3-6-
06/07/2007;39;41;4;19;5;9;8;-4-5-19-39-41-;-8-9-
29/06/2007;28;8;33;45;12;1;3;-8-12-28-33-45-;-1-3-
22/06/2007;22;17;16;11;34;5;6;-11-16-17-22-34-;-5-6-
15/06/2007;5;14;40;7;21;3;8;-5-7-14-21-40-;-3-8-
08/06/2007;15;17;25;45;1;8;2;-1-15-17-25-45-;-2-8-
01/06/2007;22;41;42;37;6;6;9;-6-22-37-41-42-;-6-9-
25/05/2007;49;26;50;29;25;8;7;-25-26-29-49-50-;-7-8-
18/05/2007;49;37;34;26;39;2;6;-26-34-37-39-49-;-2-6-
11/05/2007;12;26;49;7;29;6;2;-7-12-26-29-49-;-2-6-
04/05/2007;17;41;35;6;45;1;5;-6-17-35-41-45-;-1-5-
27/04/2007;44;18;7;36;27;1;2;-7-18-27-36-44-;-1-2-
20/04/2007;41;26;32;45;23;3;7;-23-26-32-41-45-;-3-7-
13/04/2007;20;41;38;7;25;3;7;-7-20-25-38-41-;-3-7-
06/04/2007;41;48;29;23;15;6;3;-15-23-29-41-48-;-3-6-
30/03/2007;19;9;46;17;41;1;8;-9-17-19-41-46-;-1-8-
23/03/2007;43;17;5;40;13;3;1;-5-13-17-40-43-;-1-3-
16/03/2007;45;4;31;49;14;9;4;-4-14-31-45-49-;-4-9-
09/03/2007;43;25;3;2;48;9;6;-2-3-25-43-48-;-6-9-
02/03/2007;3;16;48;34;38;8;5;-3-16-34-38-48-;-5-8-
23/02/2007;20;2;22;18;15;5;2;-2-15-18-20-22-;-2-5-
16/02/2007;19;39;20;50;8;6;9;-8-19-20-39-50-;-6-9-
09/02/2007;36;16;46;30;14;8;2;-14-16-30-36-46-;-2-8-
02/02/2007;36;14;27;23;30;1;6;-14-23-27-30-36-;-1-6-
26/01/2007;38;11;23;15;30;4;9;-11-15-23-30-38-;-4-9-
19/01/2007;27;5;13;33;42;4;2;-5-13-27-33-42-;-2-4-
12/01/2007;14;8;25;19;11;3;5;-8-11-14-19-25-;-3-5-
05/01/2007;17;45;36;29;19;6;5;-17-19-29-36-45-;-5-6-
29/12/2006;14;9;6;13;35;3;4;-6-9-13-14-35-;-3-4-
22/12/2006;20;11;43;9;38;2;3;-9-11-20-38-43-;-2-3-
15/12/2006;35;37;9;42;23;3;7;-9-23-35-37-42-;-3-7-
08/12/2006;47;36;17;16;18;1;2;-16-17-18-36-47-;-1-2-
01/12/2006;16;37;8;41;4;2;5;-4-8-16-37-41-;-2-5-
24/11/2006;8;5;40;25;17;5;1;-5-8-17-25-40-;-1-5-
17/11/2006;36;12;33;22;32;2;6;-12-22-32-33-36-;-2-6-
10/11/2006;36;30;14;27;21;2;3;-14-21-27-30-36-;-2-3-
